2025-12-13T17:44:27.259503 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-13T17:44:37.770731 | 127.0.0.1 | ALLOWED | /
2025-12-13T17:44:37.845520 | 127.0.0.1 | ALLOWED | /
2025-12-13T17:44:38.476975 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-13T17:44:38.510988 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-13T17:45:12.705908 | 127.0.0.1 | ALLOWED | /.well-known/appspecific/com.chrome.devtools.json
2025-12-13T17:48:39.865767 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-13T17:48:39.894995 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-13T17:48:39.910848 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-13T17:48:58.604058 | 127.0.0.1 | ALLOWED | /
2025-12-13T17:48:58.940786 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-13T18:06:05.214288 | 127.0.0.1 | ALLOWED | /
2025-12-13T18:06:05.682504 | 127.0.0.1 | ALLOWED | /favicon.ico
2025-12-13T18:06:05.870918 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-13T18:22:44.860481 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-13T18:23:57.109613 | 127.0.0.1 | ALLOWED | /
2025-12-13T18:23:57.469520 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-13T18:27:10.424697 | 127.0.0.1 | ALLOWED | /
2025-12-13T18:27:10.784609 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-13T18:28:02.224479 | 127.0.0.1 | ALLOWED | /
2025-12-13T18:28:02.290687 | 127.0.0.1 | ALLOWED | /favicon.ico
2025-12-13T18:28:02.589536 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-13T18:35:16.143287 | 127.0.0.1 | ALLOWED | /
2025-12-13T18:35:16.654327 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-13T18:36:50.205325 | 127.0.0.1 | ALLOWED | /
2025-12-13T18:36:50.551239 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-13T19:53:35.356971 | 127.0.0.1 | ALLOWED | /
2025-12-13T19:53:35.752237 | 127.0.0.1 | ALLOWED | /favicon.ico
2025-12-13T19:53:36.033772 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-13T19:59:51.723092 | 127.0.0.1 | ALLOWED | /
2025-12-13T19:59:52.120145 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-13T20:31:31.774734 | 127.0.0.1 | ALLOWED | /
2025-12-13T20:31:32.556778 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-13T21:01:06.354706 | 127.0.0.1 | ALLOWED | /
2025-12-13T21:01:07.256772 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-13T21:50:30.267113 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-13T21:56:50.153383 | 127.0.0.1 | ALLOWED | /
2025-12-13T21:56:50.500115 | 127.0.0.1 | ALLOWED | /favicon.ico
2025-12-13T21:56:50.761765 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-13T23:58:15.975651 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-14T09:35:39.639242 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-14T22:09:50.128365 | 127.0.0.1 | ALLOWED | /
2025-12-14T22:09:50.796533 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-14T22:25:40.635487 | 127.0.0.1 | ALLOWED | /
2025-12-14T22:25:41.186538 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-15T05:07:10.346556 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-15T05:08:13.795752 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-15T06:14:03.742566 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-15T06:16:34.073206 | 127.0.0.1 | ALLOWED | /
2025-12-15T06:16:34.787144 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-15T06:33:54.283124 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-15T06:35:10.269413 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-15T06:35:16.269372 | 127.0.0.1 | ALLOWED | /
2025-12-15T06:35:16.791977 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-15T07:07:13.856539 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-15T07:07:18.919859 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-15T07:41:46.090493 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-15T07:41:46.148516 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-15T07:49:08.818194 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-15T07:49:09.278745 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-15T07:51:28.510785 | 127.0.0.1 | ALLOWED | /
2025-12-15T07:51:28.901970 | 127.0.0.1 | ALLOWED | WS /ws
2025-12-19T13:32:47.048082 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-19T13:40:16.599508 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-19T13:45:25.185074 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-19T13:50:25.002623 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-19T14:21:52.758192 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-19T14:22:46.696030 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-19T15:17:31.238906 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-19T15:18:42.305854 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-19T16:00:57.117953 | 127.0.0.1 | BLOCKED | WS /ws/chat/
2025-12-19T16:07:26.230704 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-19T16:12:26.948220 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-19T16:23:27.190255 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-19T16:31:15.011758 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-19T16:49:54.976429 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-19T16:51:30.328888 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-19T17:28:46.776534 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-19T17:28:46.803174 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-20T15:00:57.559860 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-20T15:06:44.818379 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-20T15:10:09.281900 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-20T15:17:32.599465 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-20T15:35:05.878450 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-20T15:42:44.549916 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-20T15:50:46.308178 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-22T06:32:05.163409 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-27T09:36:50.120451 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-27T11:16:35.330603 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-27T11:20:03.697563 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-27T11:36:09.913277 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-27T11:57:41.329654 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-27T12:11:42.480103 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-27T12:12:10.749219 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-27T12:14:05.521034 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-27T19:35:54.274807 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-27T19:35:54.535106 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-27T20:07:13.211302 | 127.0.0.1 | ALLOWED | WS /ws/chat/
2025-12-30T18:12:27.790001 | 127.0.0.1 | ALLOWED | WS /ws/chat/
